id,code,name,description,category_id,created_at
1,Balde grande de tapadera,Balde grande de tapadera,,1,2025-07-29 01:06:50.986833
2,Balde pequeño tapadera de color,Balde pequeño tapadera de color,,1,2025-07-29 01:06:51.419871
3,Balde termo,Balde termo,,1,2025-07-29 01:06:52.113639
4,Bandeja,Bandeja,,1,2025-07-29 01:06:52.795095
5,Blumer de niña Azura,Blumer de niña Azura,,1,2025-07-29 01:06:53.474466
6,Blumer sin costura,Blumer sin costura,,1,2025-07-29 01:06:54.138732
7,Blusa de chavala economico,Blusa de chavala economico,,1,2025-07-29 01:06:54.803867
8,Blusa de mujer (Anabell),Blusa de mujer (Anabell),,1,2025-07-29 01:06:55.471135
9,Blusa de niña Cara,Blusa de niña Cara,,1,2025-07-29 01:06:56.124346
10,Blusa de niña economica,Blusa de niña economica,,1,2025-07-29 01:06:56.776025
11,Blusa de niña floreado Economica,Blusa de niña floreado Economica,,1,2025-07-29 01:06:57.426064
12,Blusa econocima de señora,Blusa econocima de señora,,1,2025-07-29 01:06:58.076704
13,Blusa economica (Caro),Blusa economica (Caro),,1,2025-07-29 01:06:58.728146
14,Blusa Fina,Blusa Fina,,1,2025-07-29 01:06:59.391933
15,Bolso viajero,Bolso viajero,,1,2025-07-29 01:07:00.063552
16,Boxer de adulto pierna larga,Boxer de adulto pierna larga,,1,2025-07-29 01:07:00.743884
17,Boxer de nino pierna larga,Boxer de nino pierna larga,,1,2025-07-29 01:07:01.395948
18,Boxer de niño,Boxer de niño,,1,2025-07-29 01:07:02.05294
19,Boxer de varón a cuadro,Boxer de varón a cuadro,,1,2025-07-29 01:07:02.705223
20,Boxer Senador,Boxer Senador,,1,2025-07-29 01:07:03.354044
21,Boxer Wearwold Economico,Boxer Wearwold Economico,,1,2025-07-29 01:07:04.00631
22,Brasier de copa,Brasier de copa,,1,2025-07-29 01:07:04.655962
23,Brasier de señora,Brasier de señora,,1,2025-07-29 01:07:05.308701
24,Buso escolar,Buso escolar,,1,2025-07-29 01:07:05.958855
25,Calcetas alta,Calcetas alta,,1,2025-07-29 01:07:06.624023
26,Calcetas alta de jugador,Calcetas alta de jugador,,1,2025-07-29 01:07:07.27619
27,Calcetas de niño,Calcetas de niño,,1,2025-07-29 01:07:07.925885
28,Calcetin de niño,Calcetin de niño,,1,2025-07-29 01:07:08.579832
29,Calcetin Roca,Calcetin Roca,,1,2025-07-29 01:07:09.229537
30,Calcetin talonera de varon,Calcetin talonera de varon,,1,2025-07-29 01:07:09.880135
31,Calcetin tobillera,Calcetin tobillera,,1,2025-07-29 01:07:10.531398
32,Calzón cachetero,Calzón cachetero,,1,2025-07-29 01:07:11.185011
33,Calzón de señora,Calzón de señora,,1,2025-07-29 01:07:11.84763
34,Calzón Differ,Calzón Differ,,1,2025-07-29 01:07:12.499652
35,Camisa de jugador,Camisa de jugador,,1,2025-07-29 01:07:13.153215
36,Camisa de niño de dibujo animado,Camisa de niño de dibujo animado,,1,2025-07-29 01:07:13.804487
37,Camisa de varón manga larga Jin,Camisa de varón manga larga Jin,,1,2025-07-29 01:07:14.457931
38,Camisa manga larga GQ y Lucatonica,Camisa manga larga GQ y Lucatonica,,1,2025-07-29 01:07:15.115458
39,Camisa manga sport economica,Camisa manga sport economica,,1,2025-07-29 01:07:15.769873
40,Camisa manga sport Tommy,Camisa manga sport Tommy,,1,2025-07-29 01:07:16.417895
41,Camisa sport,Camisa sport,,1,2025-07-29 01:07:17.075953
42,Camisa sport de mujer,Camisa sport de mujer,,1,2025-07-29 01:07:17.730788
43,Camiseta econmica de nino blanca,Camiseta econmica de nino blanca,,1,2025-07-29 01:07:18.380422
44,Camiseta economica de varon,Camiseta economica de varon,,1,2025-07-29 01:07:19.031955
45,Camiseta tricotextil Juvenil,Camiseta tricotextil Juvenil,,1,2025-07-29 01:07:19.682391
46,Camisola blanca de niños,Camisola blanca de niños,,1,2025-07-29 01:07:20.343516
47,Camisola de niñ@ Economica,Camisola de niñ@ Economica,,1,2025-07-29 01:07:20.993541
48,Camisola economica,Camisola economica,,1,2025-07-29 01:07:21.653848
49,Camisola tricotextil de color,Camisola tricotextil de color,,1,2025-07-29 01:07:22.305289
50,Cárdigan de mujer,Cárdigan de mujer,,1,2025-07-29 01:07:22.953443
51,Cartera china,Cartera china,,1,2025-07-29 01:07:23.605188
52,Centro de mujer,Centro de mujer,,1,2025-07-29 01:07:24.255161
53,Chaleco de mujer,Chaleco de mujer,,1,2025-07-29 01:07:24.903491
54,Chinela Apolo de hule de varón,Chinela Apolo de hule de varón,,1,2025-07-29 01:07:25.568892
55,Chinela de hule de mujer,Chinela de hule de mujer,,1,2025-07-29 01:07:26.217819
56,Chinela de niña de conejito,Chinela de niña de conejito,,1,2025-07-29 01:07:26.874488
57,Chinela de niña Economica,Chinela de niña Economica,,1,2025-07-29 01:07:27.526065
58,Chinela de raya de mujer,Chinela de raya de mujer,,1,2025-07-29 01:07:28.181363
59,Chinela de raya de varon,Chinela de raya de varon,,1,2025-07-29 01:07:28.832522
60,Chinela mobex de mujer,Chinela mobex de mujer,,1,2025-07-29 01:07:29.486057
61,Chinela mobex de varon,Chinela mobex de varon,,1,2025-07-29 01:07:30.14985
62,Chinela Nike de varon,Chinela Nike de varon,,1,2025-07-29 01:07:30.813781
63,Chinela Rasi Economica,Chinela Rasi Economica,,1,2025-07-29 01:07:31.491498
64,colcha Economica,colcha Economica,,1,2025-07-29 01:07:32.144748
65,Corpiño,Corpiño,,1,2025-07-29 01:07:32.795158
66,Cubre colchon Económico (Anabell),Cubre colchon Económico (Anabell),,1,2025-07-29 01:07:33.453409
67,Cuchara economica,Cuchara economica,,1,2025-07-29 01:07:34.108047
68,Cuchara fina,Cuchara fina,,1,2025-07-29 01:07:34.762272
69,Cuchillo,Cuchillo,,1,2025-07-29 01:07:35.412352
70,Enteriso,Enteriso,,1,2025-07-29 01:07:36.065346
71,Faja de varon,Faja de varon,,1,2025-07-29 01:07:36.726074
72,Falda de mercado,Falda de mercado,,1,2025-07-29 01:07:37.376441
73,Falda de punto con,Falda de punto con,,1,2025-07-29 01:07:38.032465
74,Falda floreada de liverpool,Falda floreada de liverpool,,1,2025-07-29 01:07:38.684983
75,Falda floreada de niña Economica,Falda floreada de niña Economica,,1,2025-07-29 01:07:39.333667
76,Falda Jeans,Falda Jeans,,1,2025-07-29 01:07:39.992186
77,Falda volada de dama,Falda volada de dama,,1,2025-07-29 01:07:40.643944
78,Funda de almohada,Funda de almohada,,1,2025-07-29 01:07:41.296593
79,Gorras de varon,Gorras de varon,,1,2025-07-29 01:07:41.945952
80,Licra de dama,Licra de dama,,1,2025-07-29 01:07:42.597461
81,Licra Jin de dama,Licra Jin de dama,,1,2025-07-29 01:07:43.253328
82,Manga,Manga,,1,2025-07-29 01:07:43.906107
83,Mantel de plastico,Mantel de plastico,,1,2025-07-29 01:07:44.555183
84,Mantel de tela,Mantel de tela,,1,2025-07-29 01:07:45.203425
85,Mosquiteros,Mosquiteros,,1,2025-07-29 01:07:45.853887
86,Palazo de bolsa a los lados,Palazo de bolsa a los lados,,1,2025-07-29 01:07:46.550615
87,Palazo de señora Economico,Palazo de señora Economico,,1,2025-07-29 01:07:47.217563
88,Pana blanca con tapadera,Pana blanca con tapadera,,1,2025-07-29 01:07:47.874232
89,Pana floreada,Pana floreada,,1,2025-07-29 01:07:48.539932
90,Pantaleta de señora,Pantaleta de señora,,1,2025-07-29 01:07:49.193418
91,Pantalón cardo camufla,Pantalón cardo camufla,,1,2025-07-29 01:07:49.843795
92,Pantalon de dama Jingo,Pantalon de dama Jingo,,1,2025-07-29 01:07:50.498036
93,Pantalon de niño,Pantalon de niño,,1,2025-07-29 01:07:51.151573
94,Pantalón kallua de mujer,Pantalón kallua de mujer,,1,2025-07-29 01:07:51.803174
95,Pantalón Levy de varon,Pantalón Levy de varon,,1,2025-07-29 01:07:52.453211
96,Pantalón probox,Pantalón probox,,1,2025-07-29 01:07:53.109081
97,Pantalón Wrangler,Pantalón Wrangler,,1,2025-07-29 01:07:53.75843
98,Pantalones de vestir de varon,Pantalones de vestir de varon,,1,2025-07-29 01:07:54.42214
99,Pantalones Jingo,Pantalones Jingo,,1,2025-07-29 01:07:55.076049
100,Pañoletas,Pañoletas,,1,2025-07-29 01:07:55.731942
101,Pijama de niñ@,Pijama de niñ@,,1,2025-07-29 01:07:56.382298
102,Pinza fina,Pinza fina,,1,2025-07-29 01:07:57.036536
103,Sandalia Gotica,Sandalia Gotica,,1,2025-07-29 01:07:57.69339
104,Sandalias Apolo brillante,Sandalias Apolo brillante,,1,2025-07-29 01:07:58.348384
105,Sandalias Emeli Engreida,Sandalias Emeli Engreida,,1,2025-07-29 01:07:59.005602
106,Sapa de niño,Sapa de niño,,1,2025-07-29 01:07:59.66178
107,Sapas de mujer,Sapas de mujer,,1,2025-07-29 01:08:00.315692
108,Sapas de varon,Sapas de varon,,1,2025-07-29 01:08:00.966303
109,Short de dama economico,Short de dama economico,,1,2025-07-29 01:08:01.620229
110,Short de niño Económico,Short de niño Económico,,1,2025-07-29 01:08:02.272142
111,Short de varón Cargo,Short de varón Cargo,,1,2025-07-29 01:08:02.925768
112,Short de varón Cargo economico,Short de varón Cargo economico,,1,2025-07-29 01:08:03.576107
113,Short de varón tipo Yoger,Short de varón tipo Yoger,,1,2025-07-29 01:08:04.22619
114,Short economico,Short economico,,1,2025-07-29 01:08:04.883069
115,Short floreado de mujer,Short floreado de mujer,,1,2025-07-29 01:08:05.538206
116,Short tipo Jingo de mujer,Short tipo Jingo de mujer,,1,2025-07-29 01:08:06.191556
117,Short tipo Yoger de niño,Short tipo Yoger de niño,,1,2025-07-29 01:08:06.844478
118,Sombrero de varon,Sombrero de varon,,1,2025-07-29 01:08:07.493468
119,Sombrilla de nina,Sombrilla de nina,,1,2025-07-29 01:08:08.158756
120,Sombrilla larga,Sombrilla larga,,1,2025-07-29 01:08:08.809337
121,Sombrilla secretaria,Sombrilla secretaria,,1,2025-07-29 01:08:09.463073
122,Sudadera con cyper,Sudadera con cyper,,1,2025-07-29 01:08:10.126456
123,Sudadera de niño rayada,Sudadera de niño rayada,,1,2025-07-29 01:08:10.776013
124,Tanga de varon,Tanga de varon,,1,2025-07-29 01:08:11.43693
125,Termo para cafe,Termo para cafe,,1,2025-07-29 01:08:12.094426
126,Toalla de cocina,Toalla de cocina,,1,2025-07-29 01:08:12.748252
127,Toallas,Toallas,,1,2025-07-29 01:08:13.398934
128,Toallas de mano Happy,Toallas de mano Happy,,1,2025-07-29 01:08:14.054782
129,Traje de ejercicio de dama,Traje de ejercicio de dama,,1,2025-07-29 01:08:14.710716
130,Traje de niñ@ en perchado,Traje de niñ@ en perchado,,1,2025-07-29 01:08:15.353522
131,Traje deportivo,Traje deportivo,,1,2025-07-29 01:08:16.007243
132,Traje deportivo con pisquitas,Traje deportivo con pisquitas,,1,2025-07-29 01:08:16.669634
133,Traje juvenil de varon,Traje juvenil de varon,,1,2025-07-29 01:08:17.323598
134,Traje sport de varon,Traje sport de varon,,1,2025-07-29 01:08:17.984652
135,Vestido de niña,Vestido de niña,,1,2025-07-29 01:08:18.638194
136,Vestido de niña (Caro),Vestido de niña (Caro),,1,2025-07-29 01:08:19.294795
137,Vestido economico de mercado,Vestido economico de mercado,,1,2025-07-29 01:08:19.950455
138,Yoger camufle de mujer,Yoger camufle de mujer,,1,2025-07-29 01:08:20.603866
139,Yoger camufle de varón (Caro),Yoger camufle de varón (Caro),,1,2025-07-29 01:08:21.258595
140,Yoger de mujer,Yoger de mujer,,1,2025-07-29 01:08:21.915619
141,Yoger de varon,Yoger de varon,,1,2025-07-29 01:08:22.56484
142,Zapato colegiales,Zapato colegiales,,1,2025-07-29 01:08:23.228355
143,Zapato de dama,Zapato de dama,,1,2025-07-29 01:08:23.887621
144,Zapato de niño Nike,Zapato de niño Nike,,1,2025-07-29 01:08:24.54413
145,Zapato Elena,Zapato Elena,,1,2025-07-29 01:08:25.203565
146,nan,nan,,1,2025-07-29 01:08:25.860693
147,GO_FINAS_15,Gorras finas,,1,2025-07-30 02:58:51.577877
148,GO_SF_96,Gorras  de los NY y SF,,1,2025-07-30 03:00:59.933857
149,CA_ADULTO_40,"Camisetas trico textil blancas de adulto ",,1,2025-07-30 03:03:34.403132
150,CA_12_81,Camisetas sport de niño #10 y 12,,1,2025-07-30 03:05:58.941846
151,CA_4_68,"Camisetas finas de niño#2 y 4 ",,1,2025-07-30 03:07:23.57279
152,SU_SIPER_76,Sudadera sin siper,,1,2025-07-30 03:13:09.083318
153,CH_TELA_41,Chinela de lazo de e tela,,1,2025-07-30 03:14:44.313843
154,CO_MATRIMONIAL_67,"Colcha matrimonial ",,1,2025-07-30 03:17:54.22944
155,CH_VARON_12,Chinela relaxo de varon,,1,2025-07-30 03:20:34.34456
156,CO_YUMBO_12,"Colcha Yumbo ",,1,2025-07-30 03:22:17.417655
157,ZA_CUERINA_96,Zapato cuerina,,1,2025-07-30 03:27:58.533017
158,JA_14,"Jabonera ",,1,2025-07-30 03:28:56.003815
159,CA_GRANDE_57,Capote grande,,1,2025-07-30 03:38:45.860888
160,CA_VIPIUR_89,Camisa colegial de vipiur,,1,2025-07-30 03:39:51.356897
161,CA_NIKE_75,"Calcetas Nike ",,1,2025-08-26 02:00:17.226402
